ID,Number,Name
YGR287C,4594,IMA1
YGR289C,3368,MAL11
YGR292W,1173,MAL12
YGR296W,1399,YRF1-3
YHL002W,3519,HSE1
YHL003C,1363,LAG1
YHL004W,1703,MRP4
YHL011C,494,PRS3
YHL013C,675,OTU2
YHL022C,1592,SPO11
YHL032C,745,GUT1
YHL049C,672,NA
YHL050C,4443,NA
YHR001W,41,OSH7
YHR003C,188,TCD1
YHR004C,262,NEM1
YHR007C,73,ERG11
YHR009C,1149,TDA3
YHR011W,3103,DIA4
YHR012W,2831,VPS29
YHR016C,2870,YSC84
YHR027C,656,RPN1
YHR028C,782,DAP2
YHR030C,3801,SLT2
YHR037W,428,PUT2
YHR040W,3408,BCD1
YHR042W,813,NCP1
YHR046C,4133,INM1
YHR047C,1306,AAP1
YHR051W,4356,COX6
YHR058C,3412,MED6
YHR064C,3459,SSZ1
YHR068W,1635,DYS1
YHR070W,590,TRM5
YHR072W,3288,ERG7
YHR074W,1766,QNS1
YHR076W,3183,PTC7
YHR077C,539,NMD2
YHR079C,1219,IRE1
YHR080C,781,LAM4
YHR088W,3424,RPF1
YHR089C,3309,GAR1
YHR090C,3735,YNG2
YHR091C,3341,MSR1
YHR094C,2795,HXT1
YHR096C,2860,HXT5
YHR098C,555,SFB3
YHR106W,3088,TRR2
YHR111W,51,UBA4
YHR117W,4257,TOM71
YHR121W,151,LSM12
YHR123W,2930,EPT1
YHR132C,222,ECM14
YHR133C,620,NSG1
YHR135C,435,YCK1
YHR137W,2877,ARO9
YHR144C,3431,DCD1
YHR155W,728,LAM1
YHR158C,508,KEL1
YHR162W,557,MPC2
YHR170W,3804,NMD3
YHR174W,139,ENO2
YHR183W,228,GND1
YHR187W,3698,IKI1
YHR190W,4468,ERG9
YHR193C,388,EGD2
YHR202W,1578,NA
YHR203C,3322,RPS4B
YHR210C,4801,NA
YHR218W,4177,NA
YHR219W,3772,NA
YIL008W,3,URM1
YIL013C,3780,PDR11
YIL018W,567,RPL2B
YIL023C,3565,YKE4
YIL026C,4154,IRR1
YIL030C,257,SSM4
YIL031W,3198,ULP2
YIL034C,318,CAP2
YIL035C,3617,CKA1
YIL036W,3531,CST6
YIL039W,3168,TED1
YIL042C,3980,PKP1
YIL045W,4124,PIG2
YIL047C,2935,SYG1
YIL050W,3817,PCL7
YIL068C,224,SEC6
YIL070C,3692,MAM33
YIL071C,473,PCI8
YIL072W,3339,HOP1
YIL074C,3209,SER33
YIL076W,212,SEC28
YIL079C,3378,AIR1
YIL083C,1523,CAB2
YIL095W,373,PRK1
YIL097W,2857,FYV10
YIL104C,3261,SHQ1
YIL109C,1653,SEC24
YIL112W,3875,HOS4
YIL125W,193,KGD1
YIL128W,4032,MET18
YIL129C,426,TAO3
YIL133C,194,RPL16A
YIL144W,1574,NDC80
YIL148W,322,RPL40A
YIL150C,3532,MCM10
YIL155C,4092,GUT2
YIL172C,3976,IMA3
YIL173W,3630,VTH1
YIL177C,692,NA
YIR002C,4312,MPH1
YIR005W,1175,IST3
YIR008C,3456,PRI1
YIR009W,3436,MSL1
YIR012W,3141,SQT1
YIR022W,662,SEC11
YIR035C,541,NA
YIR037W,538,HYR1
YJL026W,2850,RNR2
YJL029C,528,VPS53
YJL030W,1646,MAD2
YJL031C,4013,BET4
YJL034W,2958,KAR2
YJL035C,3742,TAD2
YJL041W,630,NSP1
YJL063C,1251,MRPL8
YJL068C,296,NA
YJL071W,3451,ARG2
YJL080C,2909,SCP160
YJL083W,4499,TAX4
YJL084C,4100,ALY2
YJL088W,84,ARG3
YJL093C,1524,TOK1
YJL098W,3771,SAP185
YJL100W,380,LSB6
YJL101C,1304,GSH1
YJL102W,4313,MEF2
YJL104W,3370,PAM16
YJL109C,320,UTP10
YJL110C,2955,GZF3
YJL126W,735,NIT2
YJL132W,1324,NA
YJL134W,2983,LCB3
YJL136C,3159,RPS21B
YJL153C,191,INO1
YJL154C,2797,VPS35
YJL164C,91,TPK1
YJL177W,304,RPL17B
YJL180C,1196,ATP12
YJL190C,2903,RPS22A
YJL191W,414,RPS14B
YJL194W,1435,CDC6
YJL203W,1604,PRP21
YJL207C,405,LAA1
YJL208C,3618,NUC1
YJL219W,3256,HXT9
YJL221C,3587,IMA4
YJL225C,602,NA
YJR006W,3950,POL31
YJR009C,117,TDH2
YJR014W,3489,TMA22
YJR017C,3255,ESS1
YJR019C,1051,TES1
YJR025C,3010,BNA1
YJR031C,574,GEA1
YJR033C,547,RAV1
YJR035W,3745,RAD26
YJR036C,394,HUL4
YJR042W,1412,NUP85
YJR049C,3906,UTR1
YJR057W,214,CDC8
YJR059W,977,PTK2
YJR061W,1043,NA
YJR069C,3227,HAM1
YJR073C,345,OPI3
YJR074W,3167,MOG1
YJR084W,3390,NA
YJR088C,883,EMC2
YJR100C,1539,AIM25
YJR102C,3331,VPS25
YJR103W,400,URA8
YJR105W,841,ADO1
YJR106W,3741,ECM27
YJR110W,754,YMR1
YJR116W,329,TDA4
YJR117W,3731,STE24
YJR119C,636,JHD2
YJR122W,916,IBA57
YJR126C,522,VPS70
YJR131W,1432,MNS1
YJR138W,4181,IML1
YJR143C,313,PMT4
YJR145C,3031,RPS4A
YJR147W,4267,HMS2
YJR148W,4548,BAT2
YJR155W,4041,AAD10
YJR158W,4275,HXT16
YJR159W,1818,SOR1
YJR160C,3706,MPH3
YKL001C,3206,MET14
YKL002W,2786,DID4
YKL006W,2900,RPL14A
YKL007W,3238,CAP1
YKL008C,234,LAC1
YKL010C,368,UFD4
YKL012W,3252,PRP40
YKL013C,103,ARC19
YKL014C,3305,URB1
YKL020C,771,SPT23
YKL022C,3897,CDC16
YKL025C,4430,PAN3
YKL026C,3096,GPX1
YKL035W,1268,UGP1
YKL041W,2828,VPS24
YKL043W,3366,PHD1
YKL056C,2805,TMA19
YKL065C,746,YET1
YKL067W,3482,YNK1
YKL068W,595,NUP100
YKL069W,2813,NA
YKL071W,356,NA
YKL081W,1357,TEF4
YKL086W,3067,SRX1
YKL088W,4169,CAB3
YKL091C,799,NA
YKL092C,607,BUD2
YKL095W,579,YJU2
YKL100C,471,YPF1
YKL106W,635,AAT1
YKL110C,1365,KTI12
YKL113C,3800,RAD27
YKL121W,1283,DGR2
YKL125W,4534,RRN3
YKL127W,4346,PGM1
YKL134C,1625,1-Oct
YKL141W,1074,SDH3
YKL143W,3500,LTV1
YKL144C,1133,RPC25
YKL145W,4357,RPT1
YKL149C,1334,DBR1
YKL152C,3558,GPM1
YKL157W,3945,APE2
YKL160W,1210,ELF1
YKL166C,609,TPK3
YKL168C,4129,KKQ8
YKL171W,303,NNK1
YKL172W,4206,EBP2
YKL173W,3428,SNU114
YKL180W,3515,RPL17A
YKL181W,63,PRS1
YKL184W,4396,SPE1
YKL189W,1161,HYM1
YKL190W,3029,CNB1
YKL191W,744,DPH2
YKL192C,1904,ACP1
YKL195W,906,MIA40
YKL205W,1239,LOS1
YKL206C,748,ADD66
YKL207W,3036,EMC3
YKL212W,100,SAC1
YKL213C,3640,DOA1
YKR008W,4344,RSC4
YKR009C,3656,FOX2
YKR013W,3409,PRY2
YKR016W,465,MIC60
YKR017C,532,HEL1
YKR026C,238,GCN3
YKR034W,217,DAL80
YKR038C,3633,KAE1
YKR048C,893,NAP1
YKR053C,637,YSR3
YKR054C,1035,DYN1
YKR056W,3313,TRM2
YKR068C,2806,BET3
YKR071C,1259,DRE2
YKR079C,1190,TRZ1
YKR082W,109,NUP133
YKR087C,509,OMA1
YKR088C,4278,TVP38
YLL008W,3100,DRS1
YLL010C,1564,PSR1
YLL011W,592,SOF1
YLL012W,1349,YEH1
YLL013C,325,PUF3
YLL018C-A,3555,COX19
YLL023C,4549,POM33
YLL027W,3235,ISA1
YLL031C,150,GPI13
YLL034C,2905,RIX7
YLL040C,1579,VPS13
YLL041C,4110,SDH2
YLL043W,4045,FPS1
YLL052C,1620,AQY2
YLL053C,3648,NA
YLL066C,1676,NA
YLL067C,3629,NA
YLR001C,1388,NA
YLR003C,1228,CMS1
YLR015W,1546,BRE2
YLR016C,1839,PML1
YLR019W,3621,PSR2
YLR020C,292,YEH2
YLR022C,764,SDO1
YLR024C,622,UBR2
YLR028C,252,ADE16
YLR038C,3809,COX12
YLR044C,2822,PDC1
YLR045C,2914,STU2
YLR048W,2792,RPS0B
YLR056W,3059,ERG3
YLR058C,531,SHM2
YLR059C,272,REX2
YLR065C,1841,ENV10
YLR066W,521,SPC3
YLR069C,4741,MEF1
YLR070C,2046,XYL2
YLR072W,3808,LAM6
YLR077W,912,FMP25
YLR080W,1401,EMP46
YLR081W,3850,GAL2
YLR085C,791,ARP6
YLR086W,4316,SMC4
YLR088W,1708,GAA1
YLR089C,3442,ALT1
YLR092W,3136,SUL2
YLR097C,1800,HRT3
YLR100W,628,ERG27
YLR105C,4429,SEN2
YLR107W,3162,REX3
YLR114C,1880,AVL9
YLR116W,3300,MSL5
YLR117C,3314,CLF1
YLR133W,1375,CKI1
YLR134W,2880,PDC5
YLR142W,4340,PUT1
YLR147C,3680,SMD3
YLR148W,4161,PEP3
YLR155C,1257,ASP3-1
YLR157C,3725,ASP3-2
