Number,Name,ID
1140,NA,YCR090C
4077,KIN82,YCR091W
1728,MSH3,YCR092C
2817,CDC39,YCR093W
4389,CDC50,YCR094W
3975,OCA4,YCR095C
3497,HMRA2,YCR096C
3677,HMRA1,YCR097W
350,GIT1,YCR098C
1990,NA,YCR099C
4301,NA,YCR100C
1289,NA,YCR101C
1686,NA,YCR102C
4064,PAU3,YCR104W
2030,ADH7,YCR105W
877,RDS1,YCR106W
1725,AAD3,YCR107W
487,NA,YCR108C
3792,NHP10,YDL002C
4173,ATP16,YDL004W
918,PTC1,YDL006W
1046,RPT2,YDL007W
3035,APC11,YDL008W
720,GRX6,YDL010W
2845,SLX5,YDL013W
4427,TSC13,YDL015C
1596,CDC7,YDL017W
1021,GPM2,YDL021W
3219,GPD1,YDL022W
4103,DIA3,YDL024C
1739,MPS1,YDL028C
810,ARP2,YDL029W
992,PRP9,YDL030W
739,GPR1,YDL035C
1824,PUS9,YDL036C
3679,BSC1,YDL037C
565,PRM7,YDL039C
2830,NAT1,YDL040C
972,PRP11,YDL043C
4059,FAD1,YDL045C
3149,MRP10,YDL045W-A
1522,SIT4,YDL047W
3577,STP4,YDL048C
3824,KNH1,YDL049C
850,LHP1,YDL051W
1868,PBP4,YDL053C
892,PSA1,YDL055C
3182,MBP1,YDL056W
3126,USO1,YDL058W
1153,RPS29B,YDL061C
432,IDP1,YDL066W
852,COX9,YDL067C
4397,BDF2,YDL070W
4274,BRE1,YDL074C
3301,RXT3,YDL076C
2966,MDH3,YDL078C
3789,MRK1,YDL079C
4010,THI3,YDL080C
183,RPP1A,YDL081C
251,RPL13A,YDL082W
596,RPS16B,YDL083C
1256,NA,YDL085C-A
3913,NA,YDL086W
3212,LUC7,YDL087C
387,ASM4,YDL088C
3468,SRP14,YDL092W
1042,PMT5,YDL093W
1643,PMT1,YDL095W
3778,SNU23,YDL098C
2833,BUG1,YDL099W
3826,QRI1,YDL103C
3864,QRI7,YDL104C
3729,NSE4,YDL105W
3462,PHO2,YDL106C
3186,MSS2,YDL107W
1303,KIN28,YDL108W
1037,NA,YDL109C
1316,TMA17,YDL110C
512,TRM3,YDL112W
3399,ATG20,YDL113C
4050,NA,YDL114W
